SEASON,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
2021-22,Warriors,23,19,4,.826,48.2,113.1,41.3,87.0,47.5,15.2,41.0,37.0,15.2,20.0,76.3,10.1,37.2,47.3,29.0,16.2,9.7,4.8,3.7,19.9,17.9,12.3
2021-22,Suns,23,19,4,.826,48.0,111.6,42.2,87.9,48.0,11.3,30.6,37.0,15.9,20.4,77.9,8.7,36.2,44.9,26.1,13.6,9.0,4.0,3.7,18.8,19.5,6.5
2021-22,Nets,23,16,7,.696,48.0,109.5,39.9,85.8,46.5,12.2,33.2,36.6,17.5,21.7,80.7,8.3,36.4,44.7,25.5,13.9,6.8,5.3,4.9,19.3,20.0,3.7
2021-22,Jazz,23,16,7,.696,48.0,114.0,40.7,85.7,47.5,15.6,42.3,36.9,16.9,21.5,78.4,10.0,36.3,46.3,22.3,15.1,7.4,5.5,4.1,19.2,19.5,9.2
2021-22,Bulls,24,16,8,.667,48.0,109.6,41.0,87.1,47.1,10.8,29.4,36.9,16.7,20.1,83.0,8.8,34.5,43.3,23.3,13.3,8.1,4.7,5.7,18.8,17.8,4.4
2021-22,Bucks,24,15,9,.625,48.2,110.5,40.2,89.0,45.2,14.5,40.1,36.2,15.5,20.9,74.5,10.5,37.3,47.8,23.1,14.3,7.2,4.5,4.8,17.5,18.9,4.0
2021-22,Heat,24,14,10,.583,48.4,107.7,39.3,85.7,45.9,12.3,34.7,35.3,16.9,21.1,80.0,10.4,34.1,44.5,24.4,14.4,7.4,2.7,4.9,20.5,20.0,3.2
2021-22,Wizards,24,14,10,.583,48.6,105.3,39.3,85.5,45.9,10.2,31.7,32.2,16.6,21.3,78.0,9.0,36.8,45.8,23.6,13.9,6.1,5.4,4.3,18.7,19.8,-0.7
2021-22,Grizzlies,23,13,10,.565,48.4,111.3,42.2,93.1,45.3,12.1,35.2,34.3,14.8,19.4,76.2,12.9,35.0,47.9,25.5,13.8,9.7,6.3,6.1,18.8,18.2,-0.5
2021-22,Hornets,25,14,11,.560,48.6,115.5,42.7,93.0,46.0,14.4,37.2,38.6,15.7,21.1,74.2,10.5,33.6,44.2,26.3,13.0,9.0,5.4,5.1,19.3,19.5,-0.4
2021-22,Celtics,24,13,11,.542,49.3,108.9,39.5,89.0,44.3,12.3,36.3,33.9,17.6,21.3,82.6,10.3,36.2,46.5,22.7,13.6,7.3,5.7,4.7,19.0,20.0,2.4
2021-22,Cavaliers,24,13,11,.542,48.0,104.6,38.7,85.2,45.4,11.8,34.0,34.8,15.4,19.9,77.6,10.6,34.8,45.4,24.3,16.0,7.3,4.3,4.8,16.2,18.4,2.5
2021-22,76ers,23,12,11,.522,48.4,106.1,39.3,86.3,45.6,11.4,32.0,35.7,16.1,19.8,81.3,8.8,33.7,42.5,22.5,12.3,8.1,5.9,4.7,19.0,18.4,1.0
2021-22,Hawks,24,12,12,.500,48.0,110.6,41.5,88.9,46.6,12.1,32.0,37.8,15.6,19.6,79.8,10.5,35.7,46.2,23.8,12.3,6.6,4.3,4.5,17.5,19.5,2.2
2021-22,Mavericks,22,11,11,.500,48.2,104.5,38.9,87.8,44.3,13.0,38.2,33.9,13.9,19.1,72.4,9.7,33.5,43.2,22.5,12.3,7.5,4.0,4.4,19.3,19.0,-1.7
2021-22,Nuggets,22,11,11,.500,48.0,104.0,39.8,85.7,46.4,12.3,36.1,34.0,12.2,16.3,75.1,8.7,33.8,42.5,24.3,13.7,7.3,4.0,4.7,18.5,17.9,0.2
2021-22,Clippers,24,12,12,.500,48.2,105.9,39.0,87.5,44.6,12.9,36.5,35.3,15.0,18.8,79.8,9.0,35.7,44.7,23.0,15.0,7.9,4.3,4.0,18.0,19.4,0.9
2021-22,Lakers,24,12,12,.500,49.5,111.7,42.0,90.6,46.3,11.7,33.6,34.8,16.1,21.9,73.5,10.0,36.3,46.3,24.5,15.8,8.5,5.8,3.5,20.5,20.1,-1.7
2021-22,Timberwolves,23,11,12,.478,48.7,107.9,39.3,92.0,42.7,14.0,42.2,33.1,15.3,19.8,77.1,13.4,32.3,45.8,23.2,16.1,8.8,6.1,5.4,23.2,20.4,0.9
2021-22,Knicks,23,11,12,.478,48.4,106.5,38.6,87.4,44.1,13.2,36.6,36.1,16.2,21.0,77.2,10.6,34.8,45.4,21.6,13.9,7.0,5.7,4.8,19.0,19.1,-0.7
2021-22,Blazers,24,11,13,.458,48.0,109.5,40.2,88.5,45.5,13.4,38.0,35.2,15.7,19.9,78.9,10.2,33.9,44.1,23.3,13.3,7.8,4.6,4.3,18.9,19.0,-2.2
2021-22,Raptors,24,11,13,.458,48.0,104.8,39.5,90.7,43.5,11.2,32.8,34.1,14.7,19.0,77.4,13.3,31.2,44.5,20.7,12.8,9.3,4.5,5.8,19.8,17.4,-0.3
